id,nombre,programa,anio,fuente,definicion,metodo_calculo,unidad_medida,nivel,notas,ultima_actualizacion
aportar-al-humanismo-mexicano-mediante-la-procuracion-de-la-g005-2025,Aportar al Humanismo Mexicano mediante la Procuración de la Justicia Ambiental,G005,2025,MIR_G005_2025.xlsx - 16 G005,"Contribuir al bienestar social e igualdad mediante acciones de inspección y vigilancia en materia de recursos naturales e industria; la promoción y atención de la denuncia ambiental ciudadana; el impulso de los mecanismos voluntarios de mejora del desempeño ambiental en los sectores productivos, garantizando así el acceso a la justicia ambiental aplicando la normatividad correspondiente.","(Porcentaje de cumplimiento de la Meta del indicador I1 + I2 + I3 + I4  / N). Donde I1= Porcentaje de Certificados ambientales emitidos; I2= Porcentaje de municipios con Sitios Prioritarios y/o Áreas Naturales Protegidas con acciones de inspección, recorridos de vigilancia, operativos y/o CVAPs en materia de recursos naturales; I3=Porcentaje de visitas de verificación con Cumplimiento de las medidas dictadas en acuerdos y resoluciones derivados de los procedimientos administrativos iniciados en materia industrial; I4= Porcentaje de denuncias populares en materia ambiental concluidas. N= Número de indicadores (4).",Porcentaje,Fin,,2026-02-05
porcentaje-de-denuncias-populares-en-materia-ambiental-concl-g005-2025,Porcentaje de denuncias populares en materia ambiental concluidas,G005,2025,MIR_G005_2025.xlsx - 16 G005,"Empresas y ciudadanos participan en la aplicación de la legislación ambiental, a través del fomento y vigilancia en el cumplimiento de la normatividad ambiental.",(Número de denuncias populares concluidas en el periodo t/Número de denuncias populares presentadas ante la PROFEPA en el periodo t) * 100,Porcentaje,Propósito,,2026-02-05
porcentaje-de-resolucion-de-procedimientos-administrativos-d-g005-2025,Porcentaje de resolución de procedimientos administrativos de ejercicios anteriores al corriente,G005,2025,MIR_G005_2025.xlsx - 16 G005,"Empresas y ciudadanos participan en la aplicación de la legislación ambiental, a través del fomento y vigilancia en el cumplimiento de la normatividad ambiental.",[(Número de resoluciones a procedimientos administrativos en trámite derivados de las acciones de inspección y/o vigilancia de ejercicios anteriores) / (Número de procedimientos administrativos en trámite derivados de las acciones de inspección y/o vigilancia de ejercicios anteriores)] x 100,Porcentaje,Propósito,,2026-02-05
porcentaje-de-visitas-de-verificacion-con-cumplimiento-de-la-g005-2025,Porcentaje de visitas de verificación con Cumplimiento de las medidas dictadas en acuerdos y resoluciones derivados de los procedimientos administrativos iniciados en materia industrial.,G005,2025,MIR_G005_2025.xlsx - 16 G005,"Empresas y ciudadanos participan en la aplicación de la legislación ambiental, a través del fomento y vigilancia en el cumplimiento de la normatividad ambiental.",[(Número de visitas de verificación en materia industrial con cumplimiento TOTAL de las medidas dictadas en el periodo t) / (Número de visitas de verificación en materia industrial realizadas en el periodo t)] x 100,Visitas,Propósito,,2026-02-05
porcentaje-de-municipios-y-alcaldias-con-acciones-de-inspecc-g005-2025,"Porcentaje de municipios y alcaldías con acciones de inspección, recorridos de vigilancia, operativos y CVAP en materia de recursos naturales.",G005,2025,MIR_G005_2025.xlsx - 16 G005,"Empresas y ciudadanos participan en la aplicación de la legislación ambiental, a través del fomento y vigilancia en el cumplimiento de la normatividad ambiental.","[(Número de municipios y alcaldías cubiertos con inspecciones, recorridos de vigilancia, operativos y CVAPs en el periodo t) / (Total de municipios y alcaldías a nivel nacional)] x 100",Porcentaje,Propósito,,2026-02-05
porcentaje-de-certificados-y-reconocimientos-ambientales-emi-g005-2025,Porcentaje de certificados y reconocimientos ambientales emitidos,G005,2025,MIR_G005_2025.xlsx - 16 G005,"Empresas y ciudadanos participan en la aplicación de la legislación ambiental, a través del fomento y vigilancia en el cumplimiento de la normatividad ambiental.",[(Número de certificados + reconocimientos ambientales emitidos en el periodo t) / (Número de certificados + reconocimientos ambientales programados en el periodo t)] x 100.,Porcentaje,Propósito,,2026-02-05
porcentaje-de-areas-naturales-protegidas-con-acciones-de-ins-g005-2025,"Porcentaje de Áreas Naturales Protegidas con acciones de inspección, recorridos de vigilancia, operativos y/o CVAPs en materia de recursos naturales.",G005,2025,MIR_G005_2025.xlsx - 16 G005,"A Acciones de Inspección, vigilancia y verificación en materia de recursos naturales e instalaciones estratégicas realizadas.","[(Número de Áreas Naturales Protegidas con acciones de inspección, recorridos de vigilancia, operativos y/o CVAPs realizados en materia de recursos naturales en el periodo t )/ (Total de Áreas Naturales Protegidas decretadas)] x 100",Porcentaje,Componente,,2026-02-05
porcentaje-de-acciones-de-inspeccion-realizadas-al-universo-g005-2025,Porcentaje de acciones de inspección realizadas al universo del padrón de instalaciones de jurisdicción federal registradas por la PROFEPA.,G005,2025,MIR_G005_2025.xlsx - 16 G005,"A Acciones de Inspección, vigilancia y verificación en materia de recursos naturales e instalaciones estratégicas realizadas.",(Número de instalaciones inspeccionadas en el período t/ Total de instalaciones incluidas en el padrón de jurisdicción federal) * 100,Porcentaje,Componente,,2026-02-05
porcentaje-de-solicitudes-de-certificado-y-reconocimiento-am-g005-2025,Porcentaje de solicitudes de Certificado y Reconocimiento Ambiental atendidas,G005,2025,MIR_G005_2025.xlsx - 16 G005,"A Acciones de Inspección, vigilancia y verificación en materia de recursos naturales e instalaciones estratégicas realizadas.",[(Número de solicitudes atendidas para obtener el Certificado y Reconocimiento Ambiental en el periodo t) / (Número de solicitudes recibidas para obtener el Certificado y Reconocimiento Ambiental en el periodo t)] x  100,Porcentaje,Componente,,2026-02-05
porcentaje-de-resoluciones-emitidas-a-los-recursos-de-revisi-g005-2025,Porcentaje de resoluciones emitidas a los recursos de revisión.,G005,2025,MIR_G005_2025.xlsx - 16 G005,"A Acciones de Inspección, vigilancia y verificación en materia de recursos naturales e instalaciones estratégicas realizadas.",[(Número de resoluciones emitidas a los recursos de revisión en trámite interpuestos en contra de las resoluciones de la Procuraduría en el periodo t) / (Número de recursos de revisión en trámite interpuestos en contra de las resoluciones de la Procuraduría en el periodo t)] x 100,Porcentaje,Componente,,2026-02-05
