indicator_id,periodo,valor,meta,avance_porcentual,entidad,categoria,fuente_detalle
srn-06-porcentaje-de-comites-de-vigilancia-ambi-g005-2025,2025,394.0,284.0,138.73,Nacional,,POA Avance - Acumulado anual
aportar-al-humanismo-mexicano-mediante-la-procuracion-de-la-g005-2025,2025,130.15,97.0,134.18,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-denuncias-populares-en-materia-ambiental-concl-g005-2025,2025,56.11,60.0,93.52,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-resolucion-de-procedimientos-administrativos-d-g005-2025,2025,39.34,60.0,65.57,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-visitas-de-verificacion-con-cumplimiento-de-la-g005-2025,2025,58.03,55.0,105.51,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-municipios-y-alcaldias-con-acciones-de-inspecc-g005-2025,2025,40.52,16.14,251.05,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-certificados-y-reconocimientos-ambientales-emi-g005-2025,2025,98.5,100.0,98.5,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-areas-naturales-protegidas-con-acciones-de-ins-g005-2025,2025,65.95,51.72,127.51,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-acciones-de-inspeccion-realizadas-al-universo-g005-2025,2025,7.71,7.5,102.8,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-solicitudes-de-certificado-y-reconocimiento-am-g005-2025,2025,107.68,100.0,107.68,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-resoluciones-emitidas-a-los-recursos-de-revisi-g005-2025,2025,38.94,50.0,77.88,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-auditores-ambientales-supervisados-g005-2025,2025,100.0,100.0,100.0,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-acciones-de-supervision-a-procesos-de-certific-g005-2025,2025,104.96,100.0,104.96,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-acciones-de-promocion-para-la-certificacion-am-g005-2025,2025,109.83,100.0,109.83,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-acciones-de-inspeccion-y-verificacion-realizad-g005-2025,2025,97.11,100.0,97.11,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-recorridos-de-vigilancia-realizados-en-materia-g005-2025,2025,93.31,100.0,93.31,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-inspecciones-realizadas-en-materia-de-recurso-g005-2025,2025,99.17,100.0,99.17,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-comites-de-vigilancia-ambiental-participativa-g005-2025,2025,143.8,100.0,143.8,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-operativos-realizados-en-materia-de-recursos-n-g005-2025,2025,107.04,100.0,107.04,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-revision-de-mercancias-cuya-importacion-expor-g005-2025,2025,99.75,99.0,100.76,Nacional,,MIR_G005_2025.xlsx
porcentaje-personas-contactadas-en-las-jornadas-ambientales-g005-2025,2025,102.78,100.0,102.78,Nacional,,MIR_G005_2025.xlsx
porcentaje-de-resolucion-a-las-solicitudes-de-conmutacion-de-g005-2025,2025,46.17,70.0,65.96,Nacional,,MIR_G005_2025.xlsx
procuracion-de-justicia-ambiental-impartida-g014-2026,2026,,97.0,,Nacional,,FiME 2026 PFPA.xlsx
porcentaje-de-certificados-y-reconocimientos-ambientales-emi-g014-2026,2026,98.5,100.0,0.985,Nacional,,FiME 2026 PFPA.xlsx
porcentaje-de-resolucion-de-procedimientos-administrativos-d-g014-2026,2026,39.34,60.0,0.6556666666666667,Nacional,,FiME 2026 PFPA.xlsx
porcentaje-de-visitas-de-verificacion-con-cumplimiento-de-la-g014-2026,2026,,55.0,,Nacional,,FiME 2026 PFPA.xlsx
porcentaje-de-municipios-y-alcaldias-con-acciones-de-inspecc-g014-2026,2026,40.52,16.14,2.510532837670384,Nacional,,FiME 2026 PFPA.xlsx
porcentaje-de-acciones-de-inspeccion-realizadas-al-universo-g014-2026,2026,7.71,7.5,1.028,Nacional,,FiME 2026 PFPA.xlsx
porcentaje-de-areas-naturales-protegidas-con-acciones-de-ins-g014-2026,2026,,52.0,,Nacional,,FiME 2026 PFPA.xlsx
porcentaje-de-empresas-e-instituciones-que-participaron-en-e-g014-2026,2026,,100.0,,Nacional,,FiME 2026 PFPA.xlsx
porcentaje-de-acciones-de-difusion-para-la-promocion-y-parti-g014-2026,2026,,100.0,,Nacional,,FiME 2026 PFPA.xlsx
porcentaje-de-revision-de-mercancias-cuya-importacion-expor-g014-2026,2026,,99.0,,Nacional,,FiME 2026 PFPA.xlsx
